2014-07-10 00:00:00,386
2014-07-11 00:00:00,1601
2014-07-12 00:00:00,1771
2014-07-13 00:00:00,1627
2014-07-14 00:00:00,1567
2014-07-15 00:00:00,1142
2014-07-16 00:00:00,440
2014-07-17 00:00:00,849
2014-07-18 00:00:00,600
2014-07-21 00:00:00,683
2014-07-22 00:00:00,1690
2014-07-23 00:00:00,1795
2014-07-24 00:00:00,890
2014-07-25 00:00:00,1801
2014-07-26 00:00:00,1856
2014-07-27 00:00:00,1824
2014-07-28 00:00:00,1807
2014-07-29 00:00:00,984
2014-07-31 00:00:00,617
2014-08-01 00:00:00,582
2014-08-06 00:00:00,1085
2014-08-07 00:00:00,1760
2014-08-08 00:00:00,1823
2014-08-09 00:00:00,469
2014-08-11 00:00:00,88
2014-08-15 00:00:00,4000
2014-08-18 00:00:00,6000
2014-08-19 00:00:00,4000
2014-08-20 00:00:00,9000
2014-08-21 00:00:00,5160
2014-08-24 00:00:00,5000
2014-08-25 00:00:00,14720
2014-08-26 00:00:00,10660
2014-08-27 00:00:00,5201
2014-08-28 00:00:00,10564
2014-08-29 00:00:00,8843
2014-09-02 00:00:00,10298
2014-09-03 00:00:00,4986
2014-09-04 00:00:00,8436
2014-09-05 00:00:00,10935
2014-09-06 00:00:00,4719
2014-09-08 00:00:00,11418
2014-09-09 00:00:00,17278
2014-09-10 00:00:00,17193
